,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
64,,가족휴양지,강화가볼만한곳,관광지,노을맛집,미네랄,석모도,석모도미네랄온천,연인과함께,온천,온천수,휴양지,힐링&휴양여행 ,,,,,,,,,,,,,,,,,,,
65,,2021대한민국안심여행캠페인,가족과함께,경치좋은곳,남녀노소,둘레길,레포츠,바다경치,바다내음,바다산책,방역우수관광지,산책길,산책코스,산책하기,산책하기좋은곳,안심경상권여행,안심관광지,언택트관광지_100선,연인과함께,친구와함께,포항가볼만한곳,해안길산책,해안둘레길,호미반도,호미반도해안둘레길,휴식여행,휴식하기좋은곳,힐링&휴양 ,,,,
66,,2012,2021대한민국안심여행캠페인,관광지,문화관광자원 부문,방역우수관광지,수도권,수상내역,수원화성,안심관광지,안심수도권여행,역사,역사공부,역사관광지,역사를품은곳,역사문화재,역사속,역사속으로,역사여행,역사이야기,역사탐험,유네스코세계문화유산,한국관광100선,한국관광의별 ,,,,,,,,
67,,15_16한국관광100선,관광지,나홀로여행,바다풍경,불교,불교문화,사찰,사찰여행,여수가볼만한곳,여수향일암,역사,일출명소,일출일몰명소,자연환경,전남,전남권,전라권,전망좋은곳,전통사찰,종교,한국관광100선,한국불교,향일암(여수),휴식하기좋은곳,힐링,힐링여행 ,,,,,
68,,19_20한국관광100선,21_22한국관광100선,가족여행,관광지,나홀로여행,남산서울타워,남산타워,당일치기여행,데이트명소,데이트코스,도심여행,사계절,서울근교여행,서울타워,수도권,아이와함께,야간관광100선,연인과함께,전망대,전망좋은곳,친구와함께,한국관광100선 ,,,,,,,,,
69,,21_22한국관광100선,가족여행,걷기좋은곳,관광지,동백꽃,바다풍경,생태관광지,섬여행,여수여행,연중무휴,오동도,자연,전라권,한국관광100선,휴양여행,힐링 ,,,,,,,,,,,,,,,
70,,경상권,관광지,만어사,물고기돌,불교,불교문화,사찰,사찰여행,역사,역사유적지,연중무휴,자연속으로,자연좋은곳,전통사찰,종교,휴식공간,휴식여행,휴식하기,휴식하기좋은곳 ,,,,,,,,,,,,
71,,관광지,국내힐링여행,산책하기좋은곳,언택트관광지_100선,자연관광지,자연속으로,자연여행,자연풍경,자연환경,휴식공간,휴식여행,휴식하기좋은곳,힐링여행 ,,,,,,,,,,,,,,,,,,
72,,가족과함께,관광지,바다풍경,야간관광100선,야경투어,여수가볼만한곳,여수해상케이블카,연인과함께,이색체험,자연,전라권,전시관 ,,,,,,,,,,,,,,,,,,,
73,,19_20한국관광100선,2021_휴가철찾아가고싶은_33섬,21_22한국관광100선,낚시체험,레포츠,바다경치,우도,자연환경,제주권,제주도,제주도_가볼만한곳,한국관광100선,휴식여행 ,,,,,,,,,,,,,,,,,,
