,여행지,주소,상세페이지,이미지주소,위도 경도
47,양천향교,서울 마포구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ff9079dc-2ac1-4ab4-a918-391bc16054a0,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=07a73e5b-1709-45a8-899f-eb7464c45403,"37.5558484197, 126.8939818053"
48,몽촌토성,서울 강서구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=93eb3111-2ad1-48e4-a957-eec31a6550fb,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=50c55da4-3180-4e5b-ac97-4acc0e2bdd72,"37.5729593554, 126.8400029129"
49,교동도,서울 송파구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=68588e50-6630-49ae-85e1-835c2d594ed1,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3afda414-137c-4d14-b86b-fbfa8cd938cc,"37.5209871362, 127.1229758237"
50,석모도,인천 강화군,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f8a28283-450a-4780-87ee-11cfa82ca56b,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fd0043ef-35a2-40b4-b8e6-985e98d77ddf,"37.7803447584, 126.2809677323"
51,동검도,인천 강화군,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=47f1e913-b022-417f-ba9e-34bcc8dbb54c,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=99b792a2-fa80-4c36-a3cd-6139618dad92,"37.6933453082, 126.3670844661"
52,신도·시도·모도,인천 강화군,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=42e1ba17-6dc5-469f-99d7-e432931f2bea,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=591195bc-c4ca-49cc-b654-7302213f55de,"37.5913626272, 126.5184012196"
53,굴업도,인천 옹진군,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=275474f6-667c-4fab-b320-178354891e5c,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c2da08e0-eb79-4cfd-bdb2-7297443a57cc,"37.53384269, 126.4253141031"
54,이작도,인천 옹진군,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e3f4aab6-4033-4d1d-96aa-7e9f011a2594,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f3fe3aef-6c2e-40a5-bd05-e451c53d080e,"37.1973520849, 125.990807372"
55,선녀바위·거잠포,인천 옹진군,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7f278c5c-3c76-4d9c-8ca5-ad066274795d,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=55f1e85c-ffa9-4f16-8c95-bfe14884534d,"37.1829746279, 126.2364908998"
56,송도 센트럴파크,인천 중구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=87e613c6-f7c3-4d3f-8d60-13c2f8166b95,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=599b3bfc-bf39-46e3-8684-ffd02ce932b6,"37.4396528391, 126.3789681524"
57,계양산 둘레길,인천 연수구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=cbc679cc-4dae-4f9a-887c-b650912a100e,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a455d1c6-d9da-4737-be6c-2115dabd4933,"37.3903993102, 126.6435981392"
58,경인아라뱃길,인천 계양구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=57d81233-696d-44a8-a751-915ee2fc580d,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=45b7c6a6-1085-4a03-b5a5-a4db6be5763a,"37.5543315789, 126.7182812107"
59,서건도,인천 서구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=fbbda33c-d44a-4dae-ac50-b91ee95d185a,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=98daedf9-2856-4de0-ad4d-c36241d5b7d5,"37.558493023, 126.6074801023"
60,거문오름,서귀포시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=04a696be-c97f-4d72-9fb8-59eaf77a79ab,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e01bec0f-b202-4185-83cf-9063bb213299,"33.2540292433, 126.4927119133"
61,휴림,제주시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=49c3a878-05ab-4fdf-84ab-b1d61079ac93,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aa3624dc-5a58-4c01-98a6-7f672d46b96c,"33.4569159249, 126.7147325126"
62,물영아리오름,제주시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9e74f3ec-8591-4c03-a555-c688b1750abe,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6e62b11d-4cbf-487a-a1a4-1d538916bbce,"33.4438100372, 126.4287993085"
63,고살리 숲길,서귀포시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e806f940-9f6f-4110-b5f0-db779cdbff28,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=74a93994-fc3c-4ba0-8ac8-bacfa755c1af,"33.3680603564, 126.6918059515"
64,신풍리 밭담길,서귀포시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1dc4a3e7-33f5-463b-9f31-f22838709e73,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dd60f41c-8b3c-482e-8aef-a50684caa3a9,"33.3172933815, 126.598479099"
65,북촌리 4.3길,서귀포시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e2910a29-51d3-45f2-b1ae-b6794863d27b,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c95852c0-86aa-456e-a6c5-c32e99885e62,"33.3619034434, 126.8405765535"
66,천아숲길,제주시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3d80c9cb-79d4-461b-b223-697a621322cd,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f2f5edc4-51ce-43b8-890a-01cb1fbb0db7,"33.546052868, 126.6886966222"
67,무릉 자전거 도로,제주시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8cb6694a-46db-4ac0-927f-cfa5be74b5e0,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9937d2c7-fa7a-4d86-ba15-dfedda763440,"33.3956517291, 126.4448212233"
68,정물오름,서귀포시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f2cc06fa-0e24-4bde-ad8a-5f044c3b7754,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e4217970-d92e-41c7-bcf9-8abd985639a7,"33.5571412977, 126.7364672183"
69,논골담길,제주시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3e82a842-f061-4f01-a20e-b06590b47b2e,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=081e4908-fda9-48c5-8b91-7b7ca687f507,"33.3389284907, 126.3350681403"
70,의암호 자전거길,동해시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=01503d2f-b4b3-46e0-9836-c580cd17bee8,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6e5f7b54-3b30-48ee-895b-01d9d53445a0,"37.5522210485, 129.1183390829"
71,이사부길,춘천시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=52561673-e059-499d-930d-a5698f31a7d0,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=57c9159b-7a3a-4d31-943b-6cdd182e4b01,"37.8550197403, 127.6857871373"
72,오대호아트팩토리,삼척시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=44ab3132-75a4-4179-b1e7-262db516c677,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6d73f6e1-e0ae-4cf5-b2bb-98d7092a6f39,"37.439285423, 129.188027989"
73,만뢰산자연생태공원,충주시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c11f92b4-46cd-466a-9875-8b0a6cafec29,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=990fb71e-8800-475b-8062-a25d5fb2410d,"37.0942403921, 127.794535549"
74,갈론계곡(갈론구곡),진천군,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6c170886-e1bb-42eb-83d7-41ff92ba6132,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ddde9234-d3be-4a7f-a297-c035af1e6f8a,"36.8499144841, 127.3657202937"
75,고복자연공원,괴산군,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=24dc8003-7616-4fcf-870d-0405e1a06543,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=33a37cb3-6704-46fe-a967-cae8f2134cdd,"36.7370990555, 127.845227253"
76,조천연꽃공원,세종시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=83ec7bcc-bb79-4a18-a094-2163f657d41c,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8e95d589-f640-4c87-befb-b29d245dfc3c,"36.6000120047, 127.2274836912"
77,운주산성,세종시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=369a4dd1-a50d-44f6-8367-5364237a60c1,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=961e9606-e7dc-42a9-9d59-3936413500ff,"36.5853122145, 127.3007052959"
78,웅도,세종시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c1ecd92e-f3c1-4497-bdef-380a367a3f28,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7936a4cb-a093-483e-960f-1adce33099a1,"36.683133263, 127.2415634865"
79,칠갑산도립공원,서산시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=58fb38bd-0e3a-4be1-9486-7d1c0875518f,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fcdd4705-fa55-4ca0-86e4-f163c358c17a,"36.9193798994, 126.3832318437"
80,예산황새공원,청양군,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4ba57545-89be-4545-a164-9f2b62da3241,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0a21ce42-9693-4b1e-8510-9d9fc8ecc0b0,"36.3998317198, 126.8841143716"
81,장수누리파크,예산군,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=bcce1934-fcd0-4239-8597-3f23a2ef1c1d,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7c58c83f-17b1-44cd-a91f-610368f2b908,"36.542616683, 126.8022373716"
82,교룡산국민관광지,장수군,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2d1505f7-4086-4d25-b9f4-04fe3a7bee99,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6105f369-d578-4160-8ccb-443cc2ca0e7f,"35.6411155055, 127.5232663533"
83,고산창포마을,남원시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=529a9997-8626-408d-9819-4c818aee3a6d,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dc75d18c-3adc-411b-9921-dbd7c991f967,"35.4279729781, 127.3643137624"
84,펭귄마을,완주군,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c3b16ed0-e3de-471d-be30-cce54761cbe6,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d077552c-fa42-4746-a5dc-a522f6295625,"35.9873437468, 127.2590112336"
85,광주호호수생태원,광주 남구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1094f91b-7d11-4e0e-a16a-26866a65b788,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3d2f4186-7cfc-4097-9572-6d2cccc9dcdb,"35.1431474721, 126.9149690745"
86,시민의 숲 야영장,광주 북구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ba2dcca8-e548-49a8-8197-945c6d128534,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9f81dfa2-a34f-41dd-8e4e-a41c615280c2,"35.1861051771, 127.0002465689"
87,서산동 보리마당&시화마을,광주 북구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=47ba6028-388b-4415-bb9b-6deaea216d0b,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fed58af5-c96f-44eb-877a-e92ec6fe6814,"35.233058715, 126.866351676"
88,우수영,목포시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7770a339-d073-4b39-ad71-b08eb7e5d308,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=98bd0a94-a385-4a79-9342-d30952e44fbc,"34.7817848341, 126.3773226716"
89,우주발사전망대,해남군,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9b8185c9-42f8-4237-81a6-dacc30e3ac6d,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e2999c42-da83-4d3f-bb17-ba8a20aca40d,"34.5724994, 126.311314756"
90,대운산 치유의 숲,고흥군,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=aac9e0fc-bb7a-48cc-9efe-1b7303347b95,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7a9a2007-86ca-496a-900b-56f7c7c1d514,"34.5850116756, 127.4923045005"
91,편백산림욕장,울산 울주군,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=fb91e257-06d4-4986-bb83-f5bc0d199e4c,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1d5ed9a3-1564-4b9d-80ac-7aaab8d43b79,"35.3901665277, 129.2361865678"
92,선암호수공원,울산 북구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=aeda64a9-84d2-42b7-9a23-a3691076b238,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b12d2bcc-c055-47ec-b39e-05c710c6fc32,"35.6503524496, 129.3043955301"
